"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
53,"Carnaubal","Crateús","9","pronto","","112 data(s) duplicada(s) nos niveis",1992-05-01,2026-04-23,10377,112,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0053.rds",161323
194,"Castanhão","Alto Santo","4","pronto","","371 data(s) duplicada(s) nos niveis",2002-01-01,2026-04-23,9229,371,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"reservatorios/reservatorio_0194.rds",188682
97,"Castro","Itapiúna","10","pronto","","372 data(s) duplicada(s) nos niveis",1996-06-01,2026-04-23,10800,372,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0097.rds",161440
223,"Catucinzenta","Aquiraz","10","pronto","","367 data(s) duplicada(s) nos niveis",2002-04-01,2026-04-23,9038,367,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0223.rds",163158
158,"Cauhipe","Caucaia","10","pronto","","370 data(s) duplicada(s) nos niveis",1999-03-01,2026-04-23,9563,370,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0158.rds",151347
3,"Caxitoré","Umirim","8","pronto","","366 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,15081,366,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0003.rds",205757
4,"Cedro","Quixadá","3","pronto","","371 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-14,14287,371,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0004.rds",181871
84,"Cipoada","Morada Nova","3","pronto","","65 data(s) duplicada(s) nos niveis",1995-05-12,2026-04-23,10039,65,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0084.rds",165227
220,"Cocó","Fortaleza","10","pronto","","",2017-07-01,2026-04-23,3219,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0220.rds",114418
133,"Colina","Quiterianópolis","9","pronto","","250 data(s) duplicada(s) nos niveis",1998-04-01,2026-04-23,8188,250,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0133.rds",132528
