2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     286    8.16      90       8
     287    8.16      90       8
     288    8.16      90       8
     289    8.02      90       8
     290    8.02      90       8
     291    8.02      90       8
     292    8.02      90       8
     293    7.89      90       8
     294    7.89      90       8
     295    7.89      90       8
     296    7.89      90       8
     297    7.89      90       8
     298    7.76      90       8
     299    7.76      90       8
     300    7.76      90       8
     301    7.76      90       8
     302    7.76      90       8
     303    7.63      90       8
     304    7.63      90       8
     305    7.63      90       8
     306    8.30      90       8
     307    8.30      90       8
     308    8.30      90       8
     309    8.16      90       8
     310    8.16      90       8
     311    8.16      90       8
     312    8.16      90       8
     313    8.16      90       8
     314    8.02      90       8
     315    8.02      90       8
     316    8.02      90       8
     317    8.02      90       8
     318    7.89      90       8
     319    7.89      90       8
     320    7.89      90       8
     321    0.00      90       8
     322    7.76      90       8
     323    7.63      90       8
     324    7.63      90       8
     325    7.63      90       8
     326    7.63      90       8
     327    7.51      90       8
     328    7.51      90       8
     329    7.51      90       8
     330    7.51      90       8
     331    7.51      90       8
     332    7.40      90       8
     333    7.40      90       8
     334    7.40      90       8
     335    7.40      90       8
     336    9.88      90       8
     337    9.88      90       8
     338    9.68      90       8
     339    9.68      90       8
     340    9.68      90       8
     341    9.68      90       8
     342    9.48      90       8
     343    9.48      90       8
     344    9.48      90       8
     345    9.48      90       8
     346    9.29      90       8
     347    9.29      90       8
     348    9.29      90       8
     349    9.11      90       8
     350    9.11      90       8
     351    9.11      90       8
     352    9.11      90       8
     353    8.93      90       8
     354    8.93      90       8
     355    8.93      90       8
     356    1.22      90       8
     357    8.93      90       8
     358    8.77      90       8
     359    1.22      90       8
     360    8.77      90       8
     361    1.22      90       8
     362    8.77      90       8
     363    1.23      90       8
     364    8.77      90       8
     365    1.23      90       8
     366    8.61      90       8
     367    0.00      90       8
     368    0.00      90       8
     369    0.00      90       8
     370    0.00      90       8
     371    0.00      90       8
     372    0.00      90       8
     373    0.00      90       8
     374    0.00      90       8
     375    0.00      90       8
     376    0.00      90       8
     377  285.18      90       8
     378  285.18      90       8
     379  285.18      90       8
     380  152.83      90       8
     381  152.83      90       8
     382    1.38      90       8
     383  152.83      90       8
     384    1.38      90       8
     385  106.10      90       8
     386    1.38      90       8
     387  106.10      90       8
     388    0.47      90       8
     389    1.38      90       8
     390  152.83      90       8
     391    1.38      90       8
     392  106.10      90       8
     393    1.38      90       8
     394  106.10      90       8
     395  106.10      90       8
     396   81.90      90       8
     397   81.90      90       8
     398    0.00      90       8
     399    0.00      90       8
     400    0.00      90       8
     401    1.49      90       8
     402    0.00      90       8
     403    0.00      90       8
     404    0.00      90       8
     405    1.50      90       8
     406    1.50      90       8
     407    0.31      90       8
     408    0.28      90       8
     409    0.55      90       8
     410    1.44      90       8
     411    0.76      90       8
     412    0.00      90       8
     413    1.44      90       8
     414    0.33      90       8
     415    1.43      90       8
     416    1.43      90       8
     417    0.39      90       8
     418    1.43      90       8
     419    0.00      90       8
     420    1.43      90       8
     421    0.39      90       8
     422    1.43      90       8
     423    1.43      90       8
     424    1.43      90       8
     425    0.75      90       8
     426    1.56      90       8
     427    0.35      90       8
     428    0.42      90       8
     429    0.27      90       8
     430    0.28      90       8
     431    0.29      90       8
