2016a   2021EdsoQueiroz Braco          2,       EngRev,     0.13
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     286    0.00       1       5
     287    0.00       1       5
     288    0.00       1       5
     289    0.00       1       5
     290    0.00       1       5
     291    0.00       1       5
     292    0.00       1       5
     293    0.00       1       5
     294    0.00       1       5
     295    0.00       1       5
     296    0.00       1       5
     297    0.00       1       5
     298    0.00       1       5
     299    0.00       1       5
     300    0.00       1       5
     301    0.00       1       5
     302    0.00       1       5
     303    0.00       1       5
     304    0.00       1       5
     305    0.00       1       5
     306    0.00       1       5
     307    0.00       1       5
     308    0.00       1       5
     309    0.00       1       5
     310    0.00       1       5
     311    0.00       1       5
     312    0.00       1       5
     313    0.00       1       5
     314    0.00       1       5
     315    0.00       1       5
     316    0.00       1       5
     317    0.00       1       5
     318    0.00       1       5
     319    0.00       1       5
     320    0.00       1       5
     321    0.00       1       5
     322    0.00       1       5
     323    0.00       1       5
     324    0.00       1       5
     325    0.00       1       5
     326    0.00       1       5
     327    0.00       1       5
     328    0.00       1       5
     329    0.00       1       5
     330    0.00       1       5
     331    0.00       1       5
     332    0.00       1       5
     333    0.00       1       5
     334    0.00       1       5
     335    0.00       1       5
     336    0.00       1       5
     337    0.00       1       5
     338    0.00       1       5
     339    0.00       1       5
     340    0.00       1       5
     341    0.00       1       5
     342    0.00       1       5
     343    0.00       1       5
     344    0.00       1       5
     345    0.00       1       5
     346    0.00       1       5
     347    0.00       1       5
     348    0.00       1       5
     349    0.00       1       5
     350    0.00       1       5
     351    0.00       1       5
     352    0.00       1       5
     353    0.00       1       5
     354    0.00       1       5
     355    0.00       1       5
     356    6.50       1       5
     357    0.00       1       5
     358    0.00       1       5
     359    6.50       1       5
     360    0.00       1       5
     361    6.50       1       5
     362    0.00       1       5
     363    6.50       1       5
     364    0.00       1       5
     365    6.59       1       5
     366    0.00       1       5
     367    0.00       1       5
     368    0.00       1       5
     369    0.00       1       5
     370    0.00       1       5
     371    0.00       1       5
     372    0.00       1       5
     373    0.00       1       5
     374    0.00       1       5
     375    0.00       1       5
     376    0.00       1       5
     377    0.00       1       5
     378    0.00       1       5
     379    0.00       1       5
     380    0.00       1       5
     381    0.00       1       5
     382    7.40       1       5
     383    0.00       1       5
     384    7.40       1       5
     385    0.00       1       5
     386    7.40       1       5
     387    0.00       1       5
     388    2.16       1       5
     389    7.40       1       5
     390    0.00       1       5
     391    7.40       1       5
     392    0.00       1       5
     393    7.40       1       5
     394    0.00       1       5
     395    0.00       1       5
     396    0.00       1       5
     397    0.00       1       5
     398    0.00       1       5
     399    0.00       1       5
     400    0.00       1       5
     401    8.02       1       5
     402    0.00       1       5
     403    0.00       1       5
     404    0.00       1       5
     405    8.02       1       5
     406    8.02       1       5
     407    0.34       1       5
     408    0.48       1       5
     409    2.67       1       5
     410    7.76       1       5
     411    3.89       1       5
     412    0.00       1       5
     413    7.76       1       5
     414    1.25       1       5
     415    7.76       1       5
     416    7.76       1       5
     417    1.66       1       5
     418    7.63       1       5
     419    0.00       1       5
     420    7.63       1       5
     421    1.66       1       5
     422    7.63       1       5
     423    7.63       1       5
     424    7.63       1       5
     425    3.86       1       5
     426    8.45       1       5
     427    0.31       1       5
     428    0.28       1       5
     429    0.60       1       5
     430    0.77       1       5
     431    0.92       1       5
     432    1.18       1       5
     433    2.25       1       5
     434    2.24       1       5
     435    0.34       1       5
     436    0.32       1       5
     437    0.37       1       5
     438    0.40       1       5
     439    0.27       1       5
     440    0.31       1       5
     441    0.29       1       5
     442    0.30       1       5
     443    0.38       1       5
     444    0.45       1       5
     445    0.85       1       5
     446    0.66       1       5
     447    0.40       1       5
     448    0.28       1       5
     449    0.28       1       5
     450    0.41       1       5
     451    0.61       1       5
     452    0.60       1       5
     453    0.60       1       5
     454    0.66       1       5
     455    0.60       1       5
     456    0.44       1       5
     457    0.50       1       5
     458    0.49       1       5
     459    0.64       1       5
     460    1.04       1       5
     461    1.38       1       5
     462    5.43       1       5
     463    2.12       1       5
     464    2.12       1       5
     465    2.12       1       5
     466    1.04       1       5
     467    5.37       1       5
     468    2.11       1       5
     469    1.37       1       5
     470    0.84       1       5
     471    1.36       1       5
     472    2.10       1       5
     473    5.37       1       5
     474    5.37       1       5
     475    2.10       1       5
     476    2.10       1       5
     477    5.37       1       5
     478    2.10       1       5
     479    2.09       1       5
     480    2.09       1       5
     481    5.37       1       5
     482    5.37       1       5
     483    5.37       1       5
     484    5.37       1       5
     485    0.00       1       5
     486    5.37       1       5
     487    5.43       1       5
     488    5.43       1       5
     489    5.43       1       5
     490    5.43       1       5
     491    5.43       1       5
     492    5.43       1       5
     493    0.00       1       5
     494    5.43       1       5
     495    5.43       1       5
     496    0.00       1       5
     497    5.43       1       5
     498    0.00       1       5
     499    5.43       1       5
     500    5.43       1       5
     501    0.00       1       5
     502    5.43       1       5
     503    0.00       1       5
     504    5.43       1       5
     505    0.00       1       5
     506    5.43       1       5
     507    0.00       1       5
     508    0.00       1       5
     509    0.00       1       5
     510    0.00       1       5
     511    0.00       1       5
     512    5.43       1       5
     513    0.00       1       5
     514    2.12       1       5
     515    5.43       1       5
     516    5.43       1       5
     517    5.43       1       5
     518    0.00       1       5
     519    0.00       1       5
     520    4.99       1       5
     521    0.00       1       5
     522    0.00       1       5
     523    4.99       1       5
     524    0.00       1       5
     525    0.00       1       5
     526    5.04       1       5
     527    0.00       1       5
     528    5.04       1       5
     529    5.04       1       5
     530    0.00       1       5
     531    5.04       1       5
     532    0.00       1       5
     533    5.04       1       5
     534    0.00       1       5
     535    5.04       1       5
     536    0.00       1       5
     537    5.04       1       5
     538    0.00       1       5
     539    5.04       1       5
     540    0.00       1       5
     541    0.00       1       5
     542    0.00       1       5
     543    0.00       1       5
     544    0.00       1       5
     545    0.00       1       5
     546    5.04       1       5
     547    0.00       1       5
     548    0.00       1       5
     549    0.00       1       5
     550    0.00       1       5
     551    4.24       1       5
     552    4.24       1       5
     553    0.00       1       5
     554    0.00       1       5
     555    4.28       1       5
     556    0.00       1       5
     557    4.28       1       5
     558    4.28       1       5
     559    0.00       1       5
     560    4.28       1       5
     561    4.28       1       5
     562    0.00       1       5
     563    0.00       1       5
     564    4.21       1       5
     565    4.21       1       5
     566    4.21       1       5
     567    4.17       1       5
     568    1.96       1       5
     569    4.17       1       5
     570    4.17       1       5
     571    4.17       1       5
     572    4.17       1       5
