2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  656.00 0.00095 9.4e-08     6.2
  657.00 0.00098 3.7e-08     5.1
  658.00   0.001   4e-08       5
  659.00  0.0011 4.4e-08     5.1
  660.00  0.0011 4.9e-08     5.1
  661.00  0.0011 3.3e-08     4.7
  662.00  0.0012 3.7e-08     4.7
  663.00  0.0012 4.1e-08     4.7
  664.00  0.0013 4.5e-08     4.6
  665.00  0.0013 5.1e-08     4.7
  666.00  0.0014 4.2e-08     4.4
  667.00  0.0014 4.7e-08     4.4
  668.00  0.0015 5.3e-08     4.4
  669.00  0.0015   6e-08     4.5
  670.00  0.0016 6.7e-08     4.5
  671.00  0.0016 7.6e-08     4.5
  672.00  0.0017 7.9e-08     4.4
  673.00  0.0017 7.4e-08     4.1
  674.00  0.0018 2.6e-08     3.1
  675.00  0.0019 2.9e-08     3.1
  676.00  0.0019 3.2e-08     3.1
  677.00   0.002 3.5e-08     3.2
  678.00  0.0021 3.9e-08     3.2
  679.00  0.0022 4.2e-08     3.3
  680.00  0.0022 4.7e-08     3.2
  681.00  0.0023 5.1e-08     3.2
  682.00  0.0024 5.6e-08     3.3
  683.00  0.0025 6.2e-08     3.2
  684.00  0.0026 6.8e-08     3.3
  685.00  0.0026 7.5e-08     3.3
  686.00  0.0027 8.2e-08     3.3
  687.00  0.0028   9e-08     3.3
  688.00  0.0029 9.9e-08     3.3
  689.00   0.003 1.1e-07     3.3
  690.00  0.0031 1.2e-07     3.3
  691.00  0.0032 9.2e-08     2.6
  692.00  0.0033   1e-07     2.6
  693.00  0.0035 1.1e-07     2.6
  694.00  0.0036 1.2e-07     2.6
  695.00  0.0037 7.3e-08     1.5
  696.00  0.0038       0       0
  697.00  0.0039       0       0
  698.00  0.0041       0       0
  699.00  0.0042       0       0
  700.00  0.0043       0       0
  701.00  0.0045       0       0
  702.00  0.0046       0       0
  703.00  0.0048       0       0
  704.00  0.0049       0       0
  705.00  0.0051       0       0
  706.00  0.0053       0       0
  707.00  0.0054       0       0
  708.00  0.0056       0       0
  709.00  0.0058       0       0
  710.00   0.006       0       0
  711.00  0.0061       0       0
  712.00  0.0063       0       0
  713.00  0.0065       0       0
  714.00  0.0067       0       0
  715.00  0.0069       0       0
  716.00  0.0072       0       0
  717.00  0.0074       0       0
  718.00  0.0076       0       0
  719.00 6.2e-06 6.9e-12     7.8
  720.00 1.9e-06 8.9e-11     7.9
  721.00 1.7e-06   5e-11     7.8
  722.00 1.3e-06 1.5e-11       8
  723.00 1.4e-06 1.2e-11     7.9
  724.00 9.6e-07 1.2e-11     7.8
  725.00 2.1e-06 2.7e-11     7.7
  726.00 4.2e-06   6e-11     7.7
  727.00 4.6e-07 1.2e-12     7.8
  728.00 1.2e-06 3.2e-12     7.7
  729.00 2.8e-06 8.3e-12     7.7
  730.00   6e-06   2e-11     7.6
  731.00 1.2e-05 4.1e-11     7.7
  732.00 1.9e-05 7.4e-11     7.7
  733.00 2.9e-05 1.2e-10     7.7
  734.00 3.9e-05 1.9e-10     7.7
  735.00   5e-05 4.1e-10     7.7
  736.00 6.2e-05 1.8e-09     7.8
  737.00 7.5e-05 4.4e-10     7.6
  738.00 3.1e-07 4.9e-12     7.9
  739.00 2.1e-07 5.6e-12     7.8
  740.00 5.2e-07   1e-11     7.8
  741.00 1.2e-06 2.4e-11       8
  742.00 2.5e-06 5.3e-11     7.8
  743.00 4.4e-06 9.9e-11     7.9
  744.00   7e-06 1.6e-10     7.8
  745.00   1e-05 2.4e-10     7.8
  746.00 1.3e-05 3.4e-10     7.7
  747.00 1.6e-05 4.5e-10     7.6
  748.00   2e-05 6.6e-10     7.7
  749.00 1.4e-07 1.3e-12     7.9
  750.00 1.3e-07 7.8e-13     7.8
  751.00  0.0026    0.93     6.9
  752.00 2.1e-07 3.1e-08     7.7
  753.00 2.4e-07   4e-13     7.7
  754.00 4.9e-07 8.4e-13     7.7
  755.00 8.7e-07 1.6e-12     7.9
  756.00 1.4e-06 2.6e-12       8
  757.00   2e-06 3.9e-12     7.9
  758.00  0.0015    0.89     7.6
  759.00 2.3e-07 1.6e-09     8.2
  760.00 4.2e-07 4.9e-13       8
  761.00 8.3e-07   1e-12       8
  762.00 1.4e-06 1.8e-12     7.8
  763.00 2.1e-06 2.8e-12     7.9
  764.00 2.8e-06 3.9e-12     8.1
  765.00 3.5e-06 5.2e-12       8
  766.00 4.3e-06 6.9e-12       8
  767.00   5e-06 1.2e-11     8.1
  768.00 4.8e-07 7.5e-13     8.1
  769.00 1.1e-06 1.8e-12     7.9
  770.00 2.7e-07 3.9e-13       8
  771.00 6.5e-07 9.7e-13       8
  772.00 3.6e-05   0.014     8.1
  773.00 2.2e-07 2.8e-13     8.3
  774.00   0.005     2.3     6.6
  775.00  0.0025     1.6     8.2
  776.00 0.00068    0.47       8
  777.00 1.7e-07 1.1e-10     8.3
  778.00 0.00024    0.16       8
  779.00 3.6e-07 1.2e-12     8.1
  780.00 6.4e-07 2.6e-13       8
  781.00   1e-06 4.3e-13     8.1
  782.00 1.4e-06 6.3e-13     8.1
  783.00 1.9e-06 8.6e-13     8.1
  784.00   0.015     3.8       5
  785.00  0.0024     1.5     8.1
  786.00   2e-06 3.9e-05     8.1
  787.00 2.6e-07 6.7e-14     8.1
  788.00   5e-07 1.3e-13     8.1
  789.00 8.2e-07 2.3e-13       8
  790.00 0.00083    0.61     7.7
  791.00 4.9e-07 2.5e-11     8.1
  792.00  0.0016    0.85     7.4
  793.00 0.00051    0.31       8
  794.00   4e-07 7.5e-12     8.1
  795.00 7.7e-07 2.2e-13     8.2
  796.00 1.3e-06 3.7e-13     8.1
  797.00 1.8e-06 5.5e-13       8
  798.00 2.3e-06 7.4e-13       8
  799.00 2.8e-06 9.7e-13     8.1
  800.00   0.016       4     4.7
  801.00   0.001    0.66       8
  802.00 2.2e-07   2e-10       8
  803.00  0.0033     1.7     6.6
  804.00 4.3e-07 3.1e-09     7.9
  805.00 5.8e-07 1.4e-13       8
  806.00  0.0043     1.9     6.2
  807.00  0.0017     1.1     7.9
  808.00 3.8e-07 2.8e-10     7.9
  809.00 6.9e-07 1.6e-13       8
  810.00 1.1e-06 2.8e-13       8
  811.00  0.0023     1.3       7
  812.00   0.014     4.4     4.7
  813.00 9.6e-07   7e-07       8
  814.00  0.0021    0.94       7
  815.00 4.6e-07 2.9e-10     7.9
  816.00  0.0092     3.2     5.3
  817.00 7.8e-07 9.5e-08     8.1
  818.00 6.1e-07 1.3e-13     8.1
  819.00   0.028     3.8     3.6
  820.00 3.3e-06 1.6e-05       8
  821.00   0.029     3.8     3.7
  822.00   0.016     3.2     8.1
  823.00 1.3e-06 1.4e-06     8.1
  824.00   0.018     3.1     4.3
  825.00 1.4e-06 7.6e-07     8.1
  826.00 3.1e-07 4.5e-14     8.1
  827.00   3e-07 4.3e-14     8.1
  828.00 5.4e-07 8.3e-14     8.1
  829.00 8.6e-07 1.4e-13     8.1
  830.00 1.2e-06   2e-13     8.1
  831.00   0.016     3.3     4.8
  832.00   0.015     2.7     6.7
  833.00 8.4e-07 3.9e-07     8.2
  834.00 3.7e-07 5.4e-14     8.1
  835.00 6.6e-07   1e-13       8
  836.00   0.029     4.3     3.6
  837.00   0.016     3.4     7.7
  838.00 9.9e-07 1.1e-06     8.4
  839.00 2.9e-07 3.9e-14     8.2
  840.00 5.3e-07 7.4e-14     8.2
  841.00 8.3e-07 1.2e-13     8.1
  842.00   0.028     4.5     3.8
  843.00 2.9e-06 7.3e-06     8.1
  844.00 3.1e-07 4.2e-14     8.1
  845.00 5.7e-07 8.2e-14     8.2
  846.00 9.2e-07 1.4e-13     8.2
  847.00 1.3e-06   2e-13     8.2
  848.00 1.7e-06 2.8e-13     8.1
  849.00   2e-06 3.6e-13       8
  850.00 2.3e-06 5.6e-13     8.1
  851.00 2.7e-06 1.6e-12     8.1
  852.00   3e-06 9.8e-12     8.1
  853.00 2.9e-07 5.6e-14     8.1
  854.00 6.5e-07 1.3e-13     8.1
  855.00 1.3e-06 2.7e-13     8.2
  856.00 2.1e-06 4.7e-13     8.2
  857.00 2.9e-06 6.7e-13     8.1
  858.00 3.5e-06 8.8e-13     8.2
  859.00   0.013     1.9     5.9
  860.00 6.1e-07 1.1e-07     8.1
  861.00 4.5e-07 9.8e-14     8.4
  862.00 8.8e-07   2e-13     8.2
  863.00 1.5e-06 3.5e-13     8.1
  864.00   0.024     3.3     4.6
  865.00 1.8e-06 2.4e-06     8.1
  866.00   3e-07   6e-14     8.2
  867.00   6e-07 1.3e-13     8.2
  868.00   1e-06 2.2e-13     8.1
  869.00 3.3e-07 7.4e-14     8.2
  870.00 7.1e-07 1.6e-13     8.1
  871.00 1.3e-06 3.2e-13     8.1
  872.00   2e-06 5.1e-13       8
  873.00 2.7e-06 7.3e-13     8.2
  874.00 3.4e-06 9.6e-13     8.1
  875.00 3.9e-06 1.3e-12     8.2
  876.00 4.5e-06 2.8e-12     8.1
  877.00   5e-06 1.4e-11     8.1
  878.00 5.5e-06 9.8e-11     8.1
  879.00 5.9e-06 2.1e-12     8.1
  880.00   0.029     3.3     4.3
  881.00 2.9e-06 8.1e-06     8.2
  882.00 2.1e-07 5.1e-14     8.2
  883.00 4.4e-07 1.1e-13     8.3
  884.00   8e-07 2.1e-13       8
  885.00 1.3e-06 3.4e-13     8.2
  886.00 1.8e-06   5e-13       8
  887.00 2.3e-06 6.9e-13     8.1
  888.00 2.9e-06 9.5e-13     8.2
  889.00 3.4e-06 1.6e-12     8.3
  890.00   4e-06 5.8e-12     8.1
  891.00 4.5e-06 3.9e-11     8.2
  892.00 5.1e-06 7.5e-11     8.2
  893.00 5.6e-06 2.2e-12     8.2
  894.00 6.2e-06 2.5e-12     8.3
  895.00 6.7e-06 2.9e-12     8.2
  896.00 7.3e-06 3.3e-12     8.2
  897.00 7.8e-06 3.8e-12     8.1
  898.00 8.4e-06 4.4e-12       8
  899.00 8.9e-06 5.2e-12     8.1
  900.00 9.5e-06 6.5e-12     8.3
  901.00   1e-05 8.7e-12     8.1
  902.00 1.1e-05 1.3e-11     8.1
  903.00 1.1e-05 2.2e-11     8.1
  904.00 1.2e-05 4.1e-11     8.2
  905.00 1.3e-05 8.3e-11     8.1
  906.00 1.3e-05 1.8e-10     8.1
  907.00 1.4e-05 3.8e-10     8.1
  908.00 1.5e-05 1.5e-11     8.1
  909.00 1.6e-05 1.9e-11     8.1
  910.00 1.6e-05 2.7e-11       8
  911.00 1.7e-05   4e-11     8.1
  912.00 1.8e-05 6.4e-11       8
  913.00 1.9e-05 1.1e-10       8
  914.00   2e-05 2.1e-11     7.9
  915.00 2.1e-05 2.4e-11       8
  916.00 2.2e-05 2.6e-11       8
  917.00 2.3e-05 2.9e-11     8.1
  918.00 2.4e-05 3.3e-11     8.2
  919.00 2.5e-05 3.7e-11     8.1
  920.00 2.6e-05 4.2e-11     8.1
  921.00 2.8e-05 4.8e-11       8
  922.00 2.9e-05 5.5e-11     8.1
  923.00   3e-05 6.4e-11       8
  924.00 3.1e-05 7.5e-11       8
  925.00 3.3e-05 8.8e-11     7.9
  926.00 3.4e-05 1.1e-10     8.1
  927.00 3.6e-05 1.3e-10     8.2
  928.00 3.8e-05 1.6e-10     7.9
  929.00 3.9e-05   2e-10       8
  930.00 4.1e-05 2.6e-10       8
  931.00 4.3e-05 3.3e-10       8
  932.00 4.5e-05 1.4e-10     8.1
  933.00 4.7e-05 1.6e-10     8.1
  934.00 4.9e-05 1.9e-10     8.1
  935.00 5.1e-05 2.2e-10     7.9
  936.00 5.3e-05 2.6e-10     7.9
  937.00 5.6e-05   3e-10       8
  938.00 5.8e-05 3.6e-10       8
  939.00   6e-05 4.3e-10     7.9
  940.00 6.3e-05 5.2e-10     8.1
  941.00 6.6e-05 6.3e-10     7.9
  942.00 6.9e-05 7.7e-10     8.1
  943.00 7.2e-05 9.5e-10       8
  944.00 7.5e-05 1.2e-09       8
  945.00 7.8e-05 1.5e-09     7.9
  946.00 8.1e-05 1.8e-09     7.8
  947.00 8.5e-05 2.3e-09       8
  948.00 8.8e-05 4.7e-10     7.9
  949.00 9.2e-05 5.2e-10     7.9
  950.00 9.6e-05 5.7e-10       8
  951.00   1e-04 6.3e-10     7.7
  952.00   1e-04 6.9e-10     7.9
  953.00 0.00011 7.5e-10     7.8
  954.00 0.00011 8.3e-10     7.9
  955.00 0.00012 9.1e-10     7.9
  956.00 0.00012   1e-09     7.9
  957.00 0.00013 1.1e-09     7.9
  958.00 0.00013 1.2e-09     7.9
  959.00 0.00014 1.3e-09     8.1
  960.00 0.00014 1.5e-09     7.9
  961.00 0.00015 1.6e-09       8
  962.00 0.00016 1.8e-09       8
  963.00 0.00016 1.9e-09     7.9
  964.00 0.00017 2.1e-09       8
  965.00 0.00018 2.3e-09     7.9
  966.00 0.00018 2.6e-09     7.9
  967.00 0.00019 2.8e-09     7.9
  968.00   2e-04 3.1e-09     7.8
  969.00 0.00021 3.4e-09     7.7
  970.00 0.00022 3.8e-09     7.8
  971.00 0.00022 4.2e-09     7.9
  972.00 0.00023 4.6e-09     7.8
  973.00 0.00024 5.1e-09     7.9
  974.00 0.00025 5.6e-09       8
  975.00 0.00026 6.2e-09     7.9
  976.00 0.00027 6.9e-09       8
  977.00 0.00028 7.6e-09     7.8
  978.00   3e-04 8.4e-09     7.8
  979.00 0.00031 9.3e-09     7.8
  980.00 0.00032   1e-08     7.9
  981.00 0.00033 1.1e-08     7.9
  982.00 0.00034 1.3e-08     7.8
  983.00 0.00036 1.4e-08     7.9
  984.00 0.00037 1.5e-08     7.8
  985.00 0.00039 1.7e-08     7.7
  986.00   4e-04 1.9e-08     7.8
  987.00 0.00042 2.1e-08     7.9
  988.00 0.00043 2.3e-08     7.9
  989.00 0.00045 2.2e-08     7.8
  990.00 0.00047 2.4e-08     7.7
  991.00 0.00049 2.7e-08     7.7
  992.00 0.00051   3e-08     7.7
  993.00 0.00053 2.9e-08     7.6
  994.00 0.00055 3.3e-08     7.6
  995.00 0.00057 3.7e-08     7.6
  996.00 0.00059 4.2e-08     7.6
  997.00 0.00061 4.7e-08     7.6
  998.00 0.00063 5.2e-08     7.7
  999.00 0.00066 5.6e-08     7.5
 1000.00 0.00068 5.8e-08     7.5
 1001.00 0.00071 6.5e-08     7.5
 1002.00 0.00074 7.3e-08     7.4
 1003.00 0.00076 8.3e-08     7.4
 1004.00 0.00079 9.3e-08     7.3
 1005.00 0.00082 9.1e-08       7
 1006.00 0.00085 6.2e-08     6.4
 1007.00 0.00089 6.9e-08     6.5
 1008.00 0.00092 7.8e-08     6.4
 1009.00 0.00095 8.8e-08     6.3
 1010.00 0.00099 3.3e-08     5.1
 1011.00   0.001 3.6e-08     5.1
 1012.00  0.0011   4e-08     5.2
 1013.00  0.0011 4.4e-08     5.1
 1014.00  0.0011 4.9e-08     5.2
 1015.00  0.0012 5.4e-08     5.2
 1016.00  0.0012 5.9e-08     5.3
 1017.00  0.0013 6.6e-08     5.3
 1018.00  0.0013 6.7e-08       5
 1019.00  0.0014 7.4e-08     5.2
 1020.00  0.0014 8.2e-08     5.2
 1021.00  0.0015 5.9e-08     4.5
 1022.00  0.0015   6e-08     4.4
 1023.00  0.0016 6.6e-08     4.5
 1024.00  0.0016 5.7e-08     4.1
 1025.00  0.0017 6.4e-08     4.1
 1026.00  0.0017 7.2e-08     4.2
 1027.00  0.0018 2.7e-08     3.1
 1028.00  0.0019 2.9e-08     3.1
 1029.00  0.0019 3.2e-08     3.1
 1030.00   0.002 3.5e-08     3.1
 1031.00  0.0021 3.9e-08     3.1
 1032.00  0.0021 4.3e-08     3.2
 1033.00  0.0022 4.7e-08     3.2
 1034.00  0.0023 5.2e-08     3.1
 1035.00  0.0024 5.7e-08     3.2
 1036.00  0.0025 6.2e-08     3.2
 1037.00  0.0025 6.8e-08     3.2
 1038.00  0.0026 7.5e-08     3.2
 1039.00  0.0027 8.3e-08     3.3
 1040.00  0.0028 9.1e-08     3.2
 1041.00  0.0029 9.9e-08     3.2
 1042.00   0.003 1.1e-07     3.3
 1043.00  0.0031 1.2e-07     3.3
 1044.00  0.0032 9.2e-08     2.6
 1045.00  0.0033   1e-07     2.5
 1046.00  0.0034 1.1e-07     2.5
 1047.00  0.0035 1.2e-07     2.6
 1048.00  0.0037 5.5e-08     1.1
 1049.00  0.0038       0       0
 1050.00  0.0039       0       0
 1051.00   0.004       0       0
 1052.00  0.0042       0       0
 1053.00  0.0043       0       0
 1054.00  0.0044       0       0
 1055.00  0.0046       0       0
 1056.00  0.0047       0       0
 1057.00  0.0049       0       0
 1058.00   0.005       0       0
 1059.00  0.0052       0       0
 1060.00  0.0054       0       0
 1061.00  0.0055       0       0
 1062.00  0.0057       0       0
 1063.00  0.0059       0       0
 1064.00  0.0061       0       0
 1065.00  0.0062       0       0
 1066.00  0.0064       0       0
 1067.00  0.0066       0       0
 1068.00  0.0068       0       0
 1069.00   0.007       0       0
 1070.00  0.0072       0       0
 1071.00  0.0075       0       0
 1072.00  0.0077       0       0
 1073.00  0.0079       0       0
 1074.00  0.0082       0       0
 1075.00  0.0084       0       0
 1076.00  0.0086       0       0
 1077.00  0.0089       0       0
 1078.00  0.0091       0       0
 1079.00  0.0094       0       0
 1080.00  0.0097       0       0
 1081.00    0.01       0       0
 1082.00    0.01       0       0
 1083.00   0.011       0       0
 1084.00   0.011       0       0
 1085.00   0.011       0       0
 1086.00   0.011       0       0
 1087.00   0.012       0       0
 1088.00   0.012       0       0
 1089.00   0.012       0       0
 1090.00   0.013       0       0
 1091.00   0.013       0       0
 1092.00   0.013       0       0
 1093.00   0.014       0       0
 1094.00   0.014       0       0
 1095.00   0.015       0       0
 1096.00   0.015       0       0
 1097.00   0.015       0       0
 1098.00   0.016       0       0
 1099.00   0.016       0       0
 1100.00   0.016       0       0
 1101.00   0.017       0       0
 1102.00   0.017       0       0
 1103.00   0.018       0       0
 1104.00   0.018       0       0
 1105.00   0.003    0.99     7.1
 1106.00 2.2e-07 1.3e-07       8
 1107.00 2.7e-07 1.3e-12     7.9
 1108.00 5.7e-07 2.9e-12       8
 1109.00 1.1e-06 5.7e-12       8
 1110.00 4.8e-07 2.4e-12       8
 1111.00 1.6e-07 5.2e-13     8.1
 1112.00 3.8e-07 1.3e-12       8
 1113.00 5.3e-07 1.8e-12     8.1
 1114.00 1.5e-07 3.6e-13     8.4
 1115.00 3.6e-07   9e-13     8.2
 1116.00 7.7e-07   2e-12     8.1
 1117.00 1.4e-06   4e-12       8
 1118.00 2.3e-06 6.7e-12       8
 1119.00 3.4e-06   1e-11       8
 1120.00 4.4e-06 1.4e-11     7.9
 1121.00 5.5e-06 1.8e-11       8
 1122.00 6.5e-06 2.5e-11       8
 1123.00 7.6e-06 4.9e-11       8
 1124.00 8.7e-06 2.1e-10     7.9
 1125.00 9.8e-06 3.9e-11     7.9
 1126.00 1.1e-05 4.5e-11     7.9
 1127.00 1.2e-05 5.2e-11     8.1
 1128.00 1.3e-05   6e-11     8.2
 1129.00 1.4e-05 6.8e-11     8.1
 1130.00 1.5e-05 7.8e-11       8
 1131.00 1.7e-05 8.9e-11     8.1
 1132.00 1.8e-05   1e-10       8
 1133.00 1.9e-05 1.2e-10     8.2
 1134.00 4.2e-07 2.1e-12     8.1
 1135.00   1e-06 5.5e-12       8
 1136.00 2.4e-06 1.3e-11       8
 1137.00 4.8e-06 2.7e-11     7.9
 1138.00 8.1e-06 4.9e-11     7.9
 1139.00 1.2e-05 7.4e-11     7.8
 1140.00 6.3e-07 3.8e-12     7.9
 1141.00 5.3e-05   0.032     8.1
 1142.00 2.1e-07 7.7e-13     7.9
 1143.00 4.8e-07 1.2e-12     8.2
 1144.00   3e-07 6.8e-13     8.1
 1145.00 1.1e-07 1.7e-13       8
 1146.00 2.6e-07 4.1e-13     8.1
 1147.00 5.7e-07 9.5e-13     7.9
 1148.00 1.1e-06 1.9e-12       8
 1149.00 2.5e-07 3.8e-13     8.1
 1150.00 5.8e-07 9.2e-13     8.1
 1151.00 1.2e-06   2e-12     8.2
 1152.00 2.1e-06 3.6e-12     8.1
 1153.00 3.2e-06 5.7e-12       8
 1154.00   2e-07 2.8e-13       8
 1155.00   0.023     3.6     4.4
 1156.00 1.6e-06 8.8e-06       8
 1157.00 0.00074    0.49     7.7
 1158.00 1.9e-07 1.7e-10     8.1
 1159.00   0.024     3.8     4.2
 1160.00 2.4e-06 9.9e-06       8
 1161.00 1.5e-07 3.5e-14     8.2
 1162.00 2.2e-07 5.1e-14     8.2
 1163.00 4.1e-07 9.9e-14     8.1
 1164.00   2e-04   0.092       8
 1165.00 3.9e-07 5.5e-13       8
 1166.00 6.9e-07 1.7e-13       8
 1167.00 1.1e-06 2.7e-13     8.1
 1168.00 5.7e-05   0.014     8.4
 1169.00 5.2e-07 1.7e-13     8.1
 1170.00   2e-04    0.11       8
 1171.00  0.0029     1.5     6.8
 1172.00 3.3e-07 7.4e-09     8.1
 1173.00 0.00058    0.39     7.7
 1174.00   4e-07 1.7e-11     8.1
 1175.00  0.0093     3.1     5.2
 1176.00 7.5e-07 2.4e-07     8.1
 1177.00  0.0078     2.7     5.4
 1178.00 6.7e-07 1.2e-07       8
 1179.00 3.9e-07 7.1e-14       8
 1180.00 2.8e-06 2.2e-05     8.1
 1181.00 6.2e-07 1.2e-13       8
 1182.00 0.00032    0.19     7.9
 1183.00 5.6e-07 1.3e-12     8.2
 1184.00  0.0023    0.89       7
 1185.00 3.3e-07 6.2e-10       8
 1186.00   0.019     4.2     4.1
 1187.00  0.0063     1.8     8.1
 1188.00 5.4e-07   1e-07       8
 1189.00 4.5e-05   0.013       8
 1190.00   0.014     3.5     4.7
 1191.00 1.1e-06 7.4e-07     8.1
 1192.00 3.5e-07   5e-14     8.1
 1193.00 6.1e-07 9.1e-14       8
 1194.00 9.3e-07 1.4e-13       8
 1195.00 1.3e-06 2.1e-13       8
 1196.00 1.5e-05  0.0013       8
 1197.00  0.0049     1.8     6.5
 1198.00 4.9e-07 2.7e-08     8.1
 1199.00 5.2e-07 8.4e-14     8.1
 1200.00 9.1e-07 1.6e-13     8.3
 1201.00 1.4e-06 2.5e-13     8.1
 1202.00 1.8e-06 3.4e-13     8.1
 1203.00 2.3e-06 4.5e-13     8.1
 1204.00 2.6e-06 6.1e-13       8
 1205.00 4.9e-05  0.0054     8.2
 1206.00 5.1e-07 1.5e-13       8
 1207.00   1e-06 2.2e-13       8
 1208.00 1.7e-06 3.9e-13       8
 1209.00 2.5e-06 5.8e-13       8
 1210.00 3.1e-06 7.8e-13     8.1
 1211.00 3.7e-06   1e-12       8
 1212.00 4.2e-06 1.6e-12     8.1
 1213.00 4.6e-06 5.3e-12       8
 1214.00   5e-06 3.4e-11     8.1
 1215.00 5.4e-06 2.6e-10     8.1
 1216.00  0.0016    0.42     7.7
 1217.00 0.00034    0.14     8.1
 1218.00 2.1e-07 6.6e-11     8.1
 1219.00 4.3e-07 1.1e-13     8.1
 1220.00 8.2e-07 2.1e-13     8.1
 1221.00 1.4e-06 3.6e-13     8.1
 1222.00   2e-06 5.5e-13       8
 1223.00 2.6e-06 7.7e-13     8.2
 1224.00 3.2e-06   1e-12     8.1
 1225.00 3.8e-06 1.6e-12     8.1
 1226.00 4.4e-06 5.1e-12       8
 1227.00 4.9e-06 3.2e-11     8.1
 1228.00 5.5e-06 2.5e-10       8
 1229.00 6.1e-06 2.4e-12       8
 1230.00 6.6e-06 2.7e-12     8.1
 1231.00 4.3e-07 1.8e-13     8.1
 1232.00   1e-06 4.4e-13     8.1
 1233.00 2.1e-06 9.5e-13     8.1
 1234.00 3.7e-06 1.7e-12       8
 1235.00 2.6e-07 1.1e-13       8
 1236.00 6.2e-07 2.9e-13     8.1
 1237.00 1.3e-06 6.5e-13       8
 1238.00 3.7e-06   3e-04     8.1
 1239.00 2.8e-07 1.2e-13     8.1
 1240.00 6.4e-07 2.8e-13     8.1
 1241.00 1.3e-06 5.7e-13     8.1
 1242.00 2.1e-06   1e-12     8.1
 1243.00 3.1e-06 1.6e-12     8.1
 1244.00 4.1e-06 2.2e-12     8.1
 1245.00 5.1e-06 2.9e-12     8.1
 1246.00 6.1e-06 4.7e-12     8.1
 1247.00   7e-06 1.5e-11     8.1
 1248.00 7.8e-06 9.4e-11       8
 1249.00 8.7e-06 5.7e-12     8.1
 1250.00 9.5e-06 6.6e-12     8.1
 1251.00   1e-05 7.6e-12       8
 1252.00 1.1e-05 8.7e-12       8
 1253.00 1.2e-05   1e-11     8.1
 1254.00 1.3e-05 1.2e-11     8.1
 1255.00 1.4e-05 1.4e-11     8.1
 1256.00 1.5e-05 1.8e-11     8.1
 1257.00 1.6e-05 2.6e-11     8.2
 1258.00 1.6e-05 4.1e-11     7.9
 1259.00 1.7e-05 7.2e-11     8.3
 1260.00 1.8e-05 1.4e-10     8.1
 1261.00 1.9e-05 2.9e-10     8.1
 1262.00   2e-05 1.2e-10       8
 1263.00 2.1e-05 3.2e-11       8
 1264.00 2.3e-05 3.9e-11       8
 1265.00 2.4e-05 4.9e-11       8
 1266.00 2.5e-05 6.8e-11       8
 1267.00 2.6e-05 9.9e-11       8
 1268.00 2.8e-05 1.6e-10       8
 1269.00 2.9e-05 5.2e-11     8.1
 1270.00   3e-05 5.8e-11       8
 1271.00 3.2e-05 6.5e-11     8.1
 1272.00 3.3e-05 7.3e-11     8.1
 1273.00 3.5e-05 8.3e-11     8.1
 1274.00 3.6e-05 9.5e-11     8.1
 1275.00 3.8e-05 1.1e-10       8
 1276.00   4e-05 1.3e-10     8.1
 1277.00 4.2e-05 1.5e-10       8
 1278.00 4.4e-05 1.8e-10       8
 1279.00 4.6e-05 2.2e-10       8
 1280.00 4.8e-05 2.6e-10     8.2
 1281.00   5e-05 3.3e-10       8
 1282.00 5.2e-05 4.1e-10     7.9
 1283.00 5.5e-05 5.3e-10       8
 1284.00 5.7e-05 2.4e-10       8
 1285.00 5.9e-05 2.7e-10     7.9
 1286.00 6.2e-05 3.1e-10     7.9
 1287.00 6.5e-05 3.5e-10       8
 1288.00 6.8e-05 4.1e-10     8.1
 1289.00 7.1e-05 4.7e-10     7.9
 1290.00 7.4e-05 5.5e-10       8
 1291.00 7.7e-05 6.5e-10     8.1
 1292.00   8e-05 7.7e-10     7.9
 1293.00 8.4e-05 9.2e-10       8
 1294.00 8.7e-05 1.1e-09       8
 1295.00 9.1e-05 1.3e-09     7.9
 1296.00 9.5e-05 1.6e-09       8
 1297.00 9.9e-05   2e-09       8
 1298.00   1e-04 2.5e-09     7.9
 1299.00 0.00011 3.1e-09       8
 1300.00 0.00011 3.9e-09     8.1
 1301.00 0.00012 9.4e-10       8
 1302.00 0.00012   1e-09       8
 1303.00 0.00013 1.1e-09       8
 1304.00 0.00013 1.2e-09     7.9
 1305.00 0.00014 1.4e-09     7.9
 1306.00 0.00014 1.5e-09     7.9
 1307.00 0.00015 1.7e-09     7.9
 1308.00 0.00016 1.8e-09       8
 1309.00 0.00016   2e-09     7.9
 1310.00 0.00017 2.2e-09     7.8
 1311.00 0.00017 2.4e-09     7.9
 1312.00 0.00018 2.7e-09     7.9
 1313.00 0.00019 2.9e-09     7.9
 1314.00   2e-04 3.2e-09     8.1
 1315.00 0.00021 3.5e-09     8.1
 1316.00 0.00021 3.9e-09     7.9
 1317.00 0.00022 4.3e-09     7.9
 1318.00 0.00023 4.7e-09       8
 1319.00 0.00024 5.2e-09     7.9
 1320.00 0.00025 5.7e-09     7.8
 1321.00 0.00026 6.3e-09     7.8
 1322.00 0.00027   7e-09     7.9
 1323.00 0.00028 7.7e-09     7.9
 1324.00 0.00029 8.5e-09     7.8
 1325.00   3e-04 9.4e-09     7.9
