2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  148.00 1.4e-05 2.5e-11     7.9
  149.00 1.5e-05 2.9e-11     7.9
  150.00 1.6e-05 3.3e-11     7.9
  151.00 1.7e-05 3.9e-11       8
  152.00 1.9e-05 4.6e-11       8
  153.00 1.3e-06 2.8e-12     7.9
  154.00 2.5e-06 5.8e-12     7.9
  155.00 3.5e-06 8.3e-12     7.9
  156.00   2e-06 5.1e-12     7.9
  157.00 3.5e-06 9.2e-12     8.1
  158.00 6.8e-07 1.7e-12     8.1
  159.00 3.2e-07 6.9e-13     7.9
  160.00 7.8e-07 1.7e-12       8
  161.00 1.7e-06 4.1e-12     7.8
  162.00 1.4e-06 3.4e-12       8
  163.00 2.9e-06 7.5e-12       8
  164.00 4.2e-06 1.1e-11     7.8
  165.00 7.1e-06   2e-11     7.8
  166.00   1e-05 3.1e-11     8.1
  167.00 1.4e-05 4.2e-11       8
  168.00 1.7e-05 5.8e-11       8
  169.00 1.9e-05   1e-10       8
  170.00 2.2e-05 4.1e-10     8.1
  171.00 2.4e-05 8.9e-11       8
  172.00 2.6e-05   1e-10       8
  173.00 2.9e-05 1.2e-10     7.9
  174.00 3.1e-05 1.3e-10     7.9
  175.00 3.1e-06 1.4e-11     7.9
  176.00 4.9e-06 2.3e-11     7.8
  177.00   1e-05   5e-11     7.9
  178.00 1.8e-05 9.4e-11     7.9
  179.00 2.7e-05 1.5e-10     8.1
  180.00 3.4e-05   2e-10       8
  181.00   4e-05 2.8e-10       8
  182.00 4.4e-05 6.7e-10       8
  183.00 4.8e-05 9.2e-10       8
  184.00 5.2e-05 3.8e-10     7.9
  185.00 5.5e-05 4.5e-10     7.8
  186.00 5.8e-05 5.7e-10     7.9
  187.00 6.2e-05 7.7e-10       8
  188.00 6.5e-05 1.1e-09     8.1
  189.00 6.8e-05 1.9e-09     7.9
  190.00 7.2e-05 9.9e-10     7.9
  191.00 7.5e-05 7.4e-10       8
